appid,name,release_date__date,genre_description,categories_description,short_description,about_the_game
35000,Mini Ninjas,"Sep 8, 2009","Action,Adventure",Single-player,,Mini Ninjas is a game that combines furious action with stealth and exploration for an experience that appeals to a wide audience across age groups and preferences. It’s an action-adventure with a strong focus on allowing the player freedom to explore the world and has the depth to allow for very varied gameplay and approaches to getting through the game.
418810,Cold Darkness,"Mar 29, 2016","Action,Adventure","Downloadable Content,Full controller support,Single-player,Steam Cloud,Steam Leaderboards","A dormant weapons research base has been breached, unleashing a mysterious affliction into the wild. Lara must overcome increasingly dangerous waves of infected enemies while scavenging their equipment and crafting additional gear on the fly, in kill or be killed survival-combat. Includes the Ushanka outfit, which reduces Lara’s damage from melee attacks, the devastating Voidhammer shotgun, and the Cold Darkness Awakened Card Pack which includes over 15 new Expedition Cards.","Decommissioned during the Cold War, a dormant weapons research base has been breached, unleashing a mysterious affliction into the Siberian wilderness that transforms men into blood-thirsty, mindless killers. Lara must overcome increasingly dangerous waves of these infected adversaries while scavenging their equipment and crafting additional gear on the fly, in kill or be killed survival-combat. <br />
<br />
Fight for your life against new enemies and complete new challenges, while discovering a way to stop or perhaps even reverse this impending catastrophe. Includes the Ushanka outfit, which reduces Lara’s damage from melee attacks, the devastating Voidhammer shotgun, and the Cold Darkness Awakened Card Pack which includes over 15 new Expedition Cards."
505540,Rise of the Tomb Raider 20 Year Celebration Pack,"Oct 11, 2016","Action,Adventure","Downloadable Content,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Steam Trading Cards","In the wake of her father’s death, Lara’s uncle challenges her ownership of Croft Manor. Lara must explore her childhood home in the new “Blood Ties” story mode. In “Lara’s Nightmare” hordes of the undead overrun Croft Manor, and Lara must defend it before the nightmare overwhelms her!","In the wake of her father’s death, Lara’s uncle challenges her ownership of Croft Manor. Lara must explore her childhood home in the new “Blood Ties” story mode to reclaim her legacy and uncover a family mystery that will change her life forever. In “Lara’s Nightmare” hordes of the undead overrun Croft Manor, and Lara must defend it before the nightmare overwhelms her! “Blood Ties” includes over an hour of additional single player story, as well as community challenges with card modifiers that allow you to compete against your friends’ scores in “Lara’s Nightmare”. This pack also includes five classic Lara Croft skins, an outfit and weapon inspired by Tomb Raider III, and the new “Extreme Survivor” difficulty setting for the main campaign. With over an hour of new story, a replayable combat mode, classic skins, a new outfit and weapon, and a new difficulty mode, this is the perfect way to celebrate 20 years of the iconic Lara Croft."
35130,Lara Croft and the Guardian of Light,"Sep 28, 2010","Action,Adventure","Multi-player,Partial Controller Support,Shared/Split Screen,Single-player,Stats,Steam Achievements,Steam Cloud,Steam Leaderboards","Take control of Lara and her new partner Totec, a Mayan tribesman, and uncover the ancient artifact known as the &quot;Mirror of Smoke&quot; in this all new action adventure game.","Lara Croft and the Guardian of Light is an action/adventure game featuring Lara Croft. This brand extension combines the hallmarks of the Tomb Raider franchise including exploration &amp; discovery, platforming, and puzzle solving combined with character progression, fun fast-paced combat, and elements of human cooperation and competition. <br><br><strong>Key features:</strong><br>						<ul class=""bb_ul""><li>First downloadable only title from Crystal Dynamics, and first downloadable only Lara Croft game.<br>							</li><li>A classic formula of puzzles, combat, exploration, and breathtaking visuals put through the lens of an isometric fast-paced gaming experience.<br>							</li><li>A wide range of options for solving puzzles and traversing deadly environmental traps, offering players an unprecedented level of freedom to choose their own solutions and explore various paths through the dense jungles of Central America.<br>							</li><li>Crystal Dynamics' proprietary engine delivers sprawling environments with no load-times and unbelievable vertical gameplay through tombs reaching deep into the Earth. <br>							</li><li>Face off against a myriad of undead warriors brought to life by the evil Xolotl, including a number of boss battles that are not to be missed!<br>						</li></ul>"
258180,Deus Ex: The Fall,"Mar 17, 2014","Action,Adventure,RPG","Full controller support,Single-player,Steam Achievements,Steam Trading Cards",,"<h2 class=""bb_tag""><strong>OVERVIEW:</strong></h2>Deus Ex: The Fall is set in 2027– a golden era for science, technology and human augmentation, but also a time of great social divide and global conspiracy. Powerful corporations have seized control from governments and command the drug supply needed by augmented humans to survive.<br>In this chaos Ben Saxon, a former British SAS Mercenary who underwent physical augmentation, is desperate for the truth behind the drug conspiracy. Betrayed by his private military employers, the Tyrants, not only is his own life at risk but for all augmented humans, time is running out…<br>Developed in collaboration with the original DEUS EX: HUMAN REVOLUTION® team at Eidos-Montréal and N-Fusion; Deus Ex: The Fall includes full Steam Achievements, Mouse &amp; Keyboard control configurations, and Control Pad support.<h2 class=""bb_tag""><strong>FEATURES:</strong></h2>This is a port of the original DEUS EX: THE FALL experience, first released on iOS and Android in 2013 – action, stealth, hacking, and social gameplay. A prequel story to Deus Ex: Human Revolution that builds on the DEUS EX universe. Fight for survival in a global conspiracy.<h2 class=""bb_tag""><strong>STORY DRIVEN ACTION-RPG:</strong></h2><ul class=""bb_ul""><li>The search for the truth spans from mafia hideouts in Moscow to the slums of Panama<br></li><li>Every action has a consequence <br></li><li>Hours of gameplay with multiple ways to play</li></ul><h2 class=""bb_tag""><strong>THE DEUS EX EXPERIENCE:</strong></h2><ul class=""bb_ul""><li>Play the way you want- high-impact action or stealth<br></li><li>Original, immersive storyline <br></li><li>Numerous side quests <br></li><li>Fully explorable environments<br></li><li>Social and hacking skills<br></li><li>High impact action and combat <br></li><li>Unique visual design</li></ul><h2 class=""bb_tag""><strong>PC STEAMWORKS OPTIMIZATIONS:</strong></h2><ul class=""bb_ul""><li>Full Mouse &amp; Keyboard control scheme (please note keyboard bindings are not configurable)<br></li><li>Microsoft Controller support<br></li><li>28 Steam achievements<br></li><li>Steam Trading Cards and Badges<br></li><li>Adjusted Artificial Intelligence<br></li><li>Revised game tutorial<br></li><li>Removal of auto-target options<br></li><li>Revised aiming reticule<br></li><li>Removal of in-game purchase options, with rebalanced game economy<br></li><li>Revised cover options - now matches Deus Ex: Human Revolution (HOLD or Toggle)<br></li><li>Resolution, Anti-Aliaising and Vertical Sync options</li></ul>"
6980,Thief: Deadly Shadows,"Mar 29, 2007",Action,Single-player,,"You are Garrett, the master thief. Rarely seen and never caught, Garrett is the best that ever was. Able to sneak past any guard, pick any lock, and break into the most ingeniously secured residences. Garrett steals from the wealthy and gives to himself, making his living in the dark and foreboding City. Here crime and corruption are commonplace, wealthy nobles prey on the poor and each other, and magic and machinery coexist uneasily. World weary and cynical, Garrett wants nothing more than to be left alone to ply his trade. But things never work out that way.<br>					<ul class=""bb_ul""><li>Cutting-edge Action Stealth Gameplay - Hide in the shadows, sneak past the guards, or ambush them from the darkness!<br>					</li><li>Huge Arsenal of Thieves' Tools - Including lock picks, a blackjack, arrows, wall climbing gloves, oil flasks, flash bombs, and a dagger.<br>					</li><li>An Entire City to Explore - Break into any building, mug nobles on the streets, spend your loot, and earn a reputation. Feel like a real thief in a cityscape of unparalleled responsiveness and interactivity.<br>					</li><li>Advanced Artificial Intelligence - AI guards that see and hear, track evidence and suspiciousness, search for intruders, fight, give chase, and perform lip synching, facial expressions, and hundreds of lines of real-time dialog.<br>					</li><li>Dynamic Lighting and Shadow System - Every character and object casts realistic, dynamic shadows that effect stealth gameplay.</li></ul>"
8170,Battlestations: Pacific,"May 13, 2009","Action,Strategy","Multi-player,Partial Controller Support,Single-player",,"Experience one war through two epic sagas where you will be a part of history or change it. Feel the power of the historically authentic and decisive battles of the Pacific War. Relive some of the grandest and most critical naval battles of recent history and for the first time, choose to lead your fleet to a completely different ending to the war. You will need intelligence and expertise to plan your moves and constantly remain one step ahead of the enemy. With both strategy and action at your command truly anticipate your opponent’s every move and turn the tide of war.<h2 class=""bb_tag"">Features:</h2><br><ul class=""bb_ul""><li><strong>TWICE THE SIZE </strong><br>Lead the US and Japanese forces in two massive campaigns to relive or rewrite history with up to 28 missions to play through!<br><br></li><li><strong>MASTER YOUR FLEET </strong><br>Command and take direct control of over 100 authentic and prototype air, sea and undersea units including fighters, bombers, kamikaze planes, cruisers, destroyers, aircraft carriers, submarines and lots more!!<br><br></li><li><strong>NEW LEVEL OF REALISM </strong><br>Experience a new level of visual realism where the Pacific Ocean and its chains of islands truly come to life. Immerse yourself in the action with the all new cockpit view.<br><br></li><li><strong>TAKE THE BATTLE ONLINE</strong> <br>Challenge your friends in 5 completely new and engaging multiplayer modes and take part in large online battles featuring up to 100 units!!</li></ul>"
200010,Quantum Conundrum,"Jun 21, 2012","Casual,Strategy","Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards",Find and rescue your uncle by using his newest invention to work your way through a crazy complex mansion as you switch between dimensions and solve puzzles!,"When you, as a young boy, are dropped off to visit your uncle, you notice something’s wrong. First, he’s not there to greet you. Second, there’s the explosion that happened right as you arrived. And third, the house seems to be even weirder than you remembered it. Now, your job is to find—and ultimately rescue—your uncle, by using his newest invention, the Interdimensional Shift Device (or IDS), to switch between dimensions and solve puzzles. That sofa too heavy to move? There’s a dimension for that! Switch to Fluffy Dimension and that sofa is now light as a feather. Need to get up to a high ledge? There’s a dimension for that! Just switch to Anti-Gravity Dimension and things begin to float upward. Need to make things heavier? There’s a dimension for th—well, you get the idea. Switch dimensions in real time, work your way through the crazy complex mansion wings and rescue your uncle!"
8140,Tomb Raider: Underworld,"Nov 21, 2008","Action,Adventure",Single-player,,"Tomb Raider: Underworld represents a new advancement in exploration-based gameplay. As fearless adventurer Lara Croft explore exotic locations around the world, each designed with an incredible attention to detail resulting in breathtaking high-definition visual fidelity that creates a truly believable world and delivers a new level of challenge and choice.                    <br>					<ul class=""bb_ul""><li><strong>Master your surroundings:</strong> Reach new heights with the broadest range of acrobatic abilities and utilize objects within the environment to uncover new paths to explore.                    <br>					</li><li><strong>Explore epic and unknown worlds:</strong> Discover ancient mysteries of the underworld hidden within the coast of Thailand, frozen islands of the Arctic Sea, the jungles of Mexico, and more.                    <br>					</li><li><strong>Treacherous and unpredictable challenges:</strong> Each level is an elaborate multi-stage puzzle masked within an interactive environmental playground offering more flexibility over how the area is solved.                    <br>					</li><li><strong>New range of combat options:</strong> Choose to pacify or kill, target multiple enemies at once with the new dual-target system, and shoot with one hand while suspended with the other.                    <br>					</li><li><strong>New state-of-the-art gear:</strong> Utilize the latest technology in Lara's upgraded inventory to navigate the world including:<br>                    - Active Sonar map: A revolutionary new tool that emits an active sonar ping to create a 3D image of Lara's surroundings, perfect for uncovering hidden items and locations.<br>                    - Multi-purpose grapple: A claw-like device with a high-tension cable designed for climbing, rappelling, performing wall runs and manipulating objects within the environment.<br>                    - All-terrain hybrid motorbike: A unique vehicle design built to drive on everything from mud to snow and ice.                    </li></ul>"
8000,Tomb Raider: Anniversary,"Jun 5, 2007","Action,Adventure","Partial Controller Support,Single-player",,"<strong>Tomb Raider: Anniversary </strong>retraces Lara Croft's original genre-defining adventure  globe-trotting 3rd person action-adventure in pursuit of the legendary Scion artifact. Using an enhanced 'Tomb Raider: Legend' game engine, the graphics, technology and physics bring Lara's adventure and pursuit of a mystical artifact known only as the Scion right up to today's technology standards and offers gamers a completely new gameplay experience. Re-imagined, Anniversary delivers a dynamic fluidly and fast Lara Croft, massive environments of stunning visuals, intense combat and game pacing, and an enhanced and clarified original story.<br>					<ul class=""bb_ul""><li>Epic Exploration - The lost city of Atlantis and ancient Egyptian pyramids are ripe for discovery: explore every hidden dark crevice and impossible heights; enter into strange, undiscovered lands and solve their deepest, darkest mysteries; open doors to new realms, uncover great rewards and unearth secrets to Lara's past.<br>					</li><li>Acrobatic Gunplay - Deftly leap around charging enemies while you unleash a hail of bullets from your trademark dual pistols.<br>					</li><li>Lethal Predators - The wilderness awaits with a wide range of bestial predatorsfrom bats to wolves to bearsready to defend their territory from human encroachment. New and improved AI means that all enemies will exhibit a more diverse behaviour set, providing improved combat challenges for the player.<br>					</li><li>Supernatural elements are used sparingly to provide a mystical allure around the world, while maintaining the world's grounded core. The awesome T-Rex and intriguing Atlantean centaurs suck you in to the wonderfully intriguing and mysterious world of Tomb Raider.<br>					</li><li>Death-Defying Environmental Playground - Leap over massive gaps, cling onto rock ledges, and swim through underground tunnels.<br>					</li><li>Solve the Diabolical Machinery of the Past - seek to outwit the brilliant ancient designers of many epic puzzles and vaults in order to uncover their secrets. Be warned that they do not take kindly to 'meddling', and as such, the price of failure is extreme.</li></ul>"
34600,Order of War™,"Sep 17, 2009",Strategy,Single-player,,"October 22, 2009 - Update <br>					<a href=""https://steamcommunity.com/linkfilter/?url=http://Wargaming.net"" target=""_blank"" rel=""noopener""  >Wargaming.net</a> has released free Downloadable Content for Order of War. The DLC will download automatically the next time you launch the game. This DLC contains all the formerly exclusive pre-order items which include:<br>					<ul class=""bb_ul""><li><strong>Heavy Bomber Squadrons</strong> - Addition of German Arado and Allied B-24 Marauder heavy bomber units to air support <br>					</li><li><strong>Infantry Mortar Launchers</strong> - Addition of infantry mortar units <br>					</li><li><strong>Off-Map Heavy Artillery</strong> - Addition of heavy artillery strikes to the air support menu <br>					</li><li><strong>Survival Mission Mode</strong> - New survival mission mode where you fend off waves of attacking enemies for as long as possible <br>					</li></ul> <br>					<h2 class=""bb_tag"">About Order of War</h2>					In the summer of 1944, the Second World War entered its end-game when the Allies launched two major operations that would drive back German forces on both the Western and Eastern Fronts at once. <br>				Their names were Overlord and Bagration.  Overlord famously commenced with the D-Day landings in Normandy and ended in the Liberation of Paris, while Bagration - a far less well-known but far larger Russian operation - crushed the invading German forces in the east, leading to their complete withdrawal from Soviet territory.  Had either operation been unsuccessful, history could have been very different. <br>				In the ultimate test of military strategy, Order of War will challenge you not only to lead America's finest to victory in the west, but also place you in command of the German forces charged with repelling the Red Army's seemingly unstoppable offensive in the east. Even the keenest military minds will find that it's one thing to make history, but quite another to change it.  <br><br>			...Do you have what it takes to command? <br><br>			Key features: <br><br>				<ul class=""bb_ul""><li>Experience WWII warfare on an epic, cinematic stage; that truly captures the intensity and scale of the battlefield. <br>				</li><li>Take Command of an entire armoured force consisting of up to 1000 soldiers, tank divisions, armoured vehicles, heavy artillery and air force. <br>				</li><li>Players can choose between two different campaign modes offering completely different storyline, missions, objectives and environments. <br>				</li><li>Experience the unique dynamic camera that allows players to command troops over huge geographical scale whilst maintaining movie-like vistas and detail. <br>				</li></ul>"
427820,Hitman GO: Definitive Edition,"Feb 23, 2016",Strategy,"Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","Hitman GO is a simple to play, but difficult to master turn-based strategy game set in a stunning interpretation of the Hitman universe.","Hitman GO is a simple to play, but difficult to master turn-based strategy game set in a stunning interpretation of the Hitman universe. You will strategically navigate fixed spaces on a grid to avoid enemies and take out your target or infiltrate well-guarded locations. This award-winning, beautifully rendered diorama-style turn-based strategy game focuses on forward thinking to progress through challenging levels and stylish freeze frame environments, to challenge even the most accomplished Hitman fan.<br><br><strong>With Hitman GO, you’ll experience:</strong><br><ul class=""bb_ul""><li>Challenging puzzles that put your assassination skills to the test<br></li><li>Beautiful scale model-style visuals<br></li><li>Environments with secret passageways and off-limit areas<br></li><li>Agent 47’s tools of the trade: Distractions, disguises, hiding spots, sniper rifles and even the iconic Silverballers<br></li><li>Different enemy types with unique and deadly behaviours<br></li><li>Different ways of completing each level, silently or forcefully</li></ul>"
243020,Pandemonium,"Oct 8, 2013",,,,"Join two kindred spirits, Fargus the Jester and Nikki the acrobat in a fantastic 3D world of magic and mystery as they bounce, tumble and jump through 18 massive and diverse levels in search of the Wishing Engine!<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li>Fast-paced 3D platform action in a lush, texture-mapped environment.<br></li><li>Over 18 levels, hilarious power-ups, tons of secrets, huge bosses and shape-change from a bull-dozing rhino to a fire-blasting dragon.<br></li><li>A totally immersive experience complete with beautiful soundtrack and cinematics.</li></ul>"
242940,Anachronox,"Oct 17, 2013",RPG,Single-player,,"Join Sylvester &quot;Sly&quot; Boots and Stiletto Anyway as they trek across six bizarre planets investigating a galaxy-crushing mystery, searching for artefacts from an extinct alien race and unlocking the secrets of a powerful, advanced technology. It's your turn. PICK YOUR POISON.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li>Craft your team from a cast of seven characters. Unravel evil galactic schemes, solve devious puzzles and fight wicked monsters.<br></li><li>Immerse yourself in amazing turn-based real-time battles. Assemble alien weapons and master challenging mini-games.<br></li><li>All this, plus mind-blowing cinematics and a heavy dose of gut-busting humour.</li></ul>"
39190,Dungeon Siege,"Apr 5, 2011",RPG,Single-player,,"Dungeon Siege® combines the immersive elements of a role-playing game with over-the-top intensity and non-stop action. Dungeon Siege plunges you into a continuous 3D fantasy world where you face off against an army of evil that has been unleashed.<br />
						 You begin as a humble farmer, and as you travel through the world and gain new skills, you can gather a party of up to eight characters to aid you. Dungeon Siege impels the player into one over-the-top battle after the other as the storyline unfolds and a larger plot begins to reveal itself.<br />
						 A world of adventure where you can explore sprawling landscapes in a seamlessly unfolding story awaits..."
39200,Dungeon Siege II,"Aug 16, 2005",RPG,Single-player,,"It’s been a generation since you vanquished the evil that plagued the Land of Ehb, and now…a new menace has awakened. In Dungeon Siege II, the sequel to the best-selling RPG from Gas Powered Games, you will be called on to again wield sword and spell to save the world from a growing abomination many years in the making.<br />
						 A thousand years ago, the crusaders of Azunai crossed swords with the legions of Zaramoth in the final battle of a century-long rebellion. As the tyrannical god Zaramoth struck the final blow through Azunai’s trembling shield, the earth shook. In that moment, the forces of magic were unchained, and both armies were consumed in a brilliant cataclysm that stretched for leagues across the Plain of Tears. Only a scarred wasteland remained as final testament to the First Age of Man.<br />
						 And for a millennium, magic has continued to spread to the farthest corners of the world, freely flowing to any who would command it. But the tide of magic has begun to wane, heeding instead the call of an ancient legacy. From the Plain of Tears a new heir beckons, and with each day his strength grows. Consuming those who submit, eradicating those who resist. With none to oppose his ascendance, the circle will be complete, and an ancient age will begin anew.<br />
						 What fate will befall the Second Age of Man? The time for judgment is nigh."
6880,Just Cause,"Mar 15, 2007",Action,Single-player,,"Your world...Your rules! In Just Cause, you are a Latin field operative and specialist in regime change backed by top secret US government agency who will overthrow the corrupt government of San Esperito. The rogue South American state is suspected of stockpiling Weapons of Mass Destruction, and it's your mission to negate the threat this poses to world peace.  It could be to your advantage that the tropical paradise is about to implode as various factions vie for power - it just needs a gentle nudge in the right direction.<br>					Just Cause offers the freedom to tackle your assignments however you want: playing the island's factions against one another, inciting a rebellion among the masses and building alliances with rebel forces and drug cartels.  The action takes place in an incredibly detailed game world which consists of over 250,000 acres of mountains, jungles, beaches, cities and villages. The island can be explored by land, sea and air, as you will have at your disposal one of the most varied and exciting array of vehicles ever seen in a video game.<br>					<ul class=""bb_ul""><li>Freeform game-play: approach missions in any way you like, or break off from the fight and enjoy exploring the islands.<br>					</li><li>Over 250K acres of land to explore: the largest environment ever seen in a game!<br>					</li><li>Over-the-top Stunts: jump from vehicle-to-vehicle, parasail, skydive and base-jump...<br>					</li><li>Massive selection of vehicles: over 100 of the most varied, exciting array of land, sea and air vehicles ever seen in a video game.<br>					</li><li>Avalanche Engine™: procedurally generated landscape delivers a huge, beautiful, detailed world while eliminating loading times.<br>					</li><li>Wealth of missions: story missions, side-missions, bonus missions and many more; ensuring plenty of action spread throughout the islands.<br>					</li><li>Support team: Sheldon and Kane, two US government secret agents, will provide you with reconnaissance info, extraction and vehicle drops.<br>					</li><li>Fly: The best way to explore San Esperito is by air!</li></ul>"
6870,Battlestations: Midway,"Mar 15, 2007",Action,Single-player,"Battlestations: Midway is an immense action game that drops players into massive air, sea, and undersea battles from Pearl Harbor to the Battle of Midway.","Battlestations: Midway is an immense action game that drops players into massive air, sea, and undersea battles from Pearl Harbor to Midway. Players command massive fleet attacks and take direct, real-time, control of every plane, battleship, and submarine in the battle.<br><br>Battlestations: Midway's blends intense 3rd-person action with epic, large-scale naval combat and brings to life the great Pacific battles of the World War II. From the chaos of Pearl Harbor, through the Philippines, Java and the Coral Sea all the way to the epic Battle of Midway.<br><br>Innovative gameplay lets players take direct control of over 60 different warships, planes and submarines from a 3rd-person perspective. Players can instantly switch to and control nearly every vehicle in the battle.<br><br>The game features 11 large-scale campaigns with 12 bonus challenge missions.<h2 class=""bb_tag"">FEATURES:</h2><br><ul class=""bb_ul""><li>Revolutionary gameplay: Experience epic WWII combat from multiple perspectives as you jump between dozens of units, playing as a pilot, a gunner, a submarine captain or even carrier fleet commander.<br><br></li><li>Massive air, sea, and undersea battlefields: Every battle takes place simultaneously in the air, on and under the sea. <br><br></li><li>Movement of your fleet and the individual efforts of any one vehicle is critical to success.<br><br></li><li>Sixty warships: Features the Wildcat and Zero Fighter planes, the Dauntless Divebombers, the B17 and B24 bombers, the USS Lexington and USS Yorktown carriers, and Japan's infamous super battleship, The Yamato.<br><br></li><li>Realism: Cutting-edge graphics bring the Pacific oceans and island chains alive with lush real-world environments, dynamic weather effects and incredibly detailed vehicles and weaponry.</li></ul><br>Featuring 11 massive campaigns with 12 bonus challenge missions and an immersive storyline."
242980,Daikatana,"Oct 1, 2013",Action,Single-player,,"In 2455 AD, Kage Mishima used the magical powers of Daikatana, the most powerful sword ever forged, to alter time and establish himself as supreme dictator. You are Hiro Miyamoto, one of the few people on earth who knows what happened. You and your two friends Superfly Johnson &amp; Mikiko Ebihara must travel through time to find the corrupted dictatorship and right the wrongs inflicted on the world.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li>Two highly-trained sidekicks to watch your back<br></li><li>More than 50 superior enemies to slice and dice<br></li><li>25 glorious weapons to collect and utilize<br></li><li>24 huge levels that span four time periods<br></li><li>Killer multiplayer capabilities for free network play</li></ul>"
225020,Tomb Raider (VI): The Angel of Darkness,"Nov 28, 2012",Action,Single-player,,"A series of grisly murders brings Lara into conflict with a sinister Alchemist from the past, and a secret alliance of powerful individuals shrouded in mystery.  Accused of the murder of her one time mentor, Werner Von Croy, Lara becomes a fugitive on the run. Pursued by the police, she follows the Alchemist into a dark world of blood, betrayal and vengeance where it is up to her to defeat this unholy alliance, and stop them from unleashing their incredible powers on the world."
242960,Blood Omen 2: Legacy of Kain,"Sep 24, 2013",Action,Single-player,,"Cast down from power by a mysterious warlord centuries ago, Kain reawakens in a world he barely recognises. His armies slain, his vampire brethren nearly extinct, Kain is one of the last of his kind. With an agenda of vengeance, Kain shall unleash a wicked wrath to uncover the plot that threatens the land he seeks to conquer.<br />
<br />
• Execute fierce attacks and brutal combos with battle-axes, swords and other heavy metal weaponry.<br />
• When weapon edges dull on bone and steel, turn to your Dark Gifts such as berserk and stealth to exact your lethal will.<br />
• In pursuit of power or just for the thrill of the kill, Kain’s lust for blood is inspiring.<br />
• Lead Kain through highly detailed environments of gothic nightmare; host to thieves, knights and demons of all sorts."
211780,Conflict Desert Storm,"May 28, 2012",Action,Single-player,,"Take charge of the most feared special operations forces in the world: the elite British SAS or the US Delta Force squads. You're the best trained, best equipped and best organised. The area that has been assigned to you is yours for the taking. Seek, locate and destroy enemy targets and personnel. Create havoc and confusion throughout the enemy's lines of communication and supply. What lies before you is the opportunity of a soldier's lifetime. Take your equipment, take your training and use it well. Squad-based combat over 15 challenging missions.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li>Control a squad of four expert SAS or Delta Force operatives - Team Leader, Sniper, Heavy Weapons Specialist and Combat Engineer. <br></li><li>Call in air strikes, take control of vehicles and engage in the most fearsome combat you will ever face. <br></li><li>Watch your squad's expertise improve as each mission is completed. <br></li><li>Unprecedented AI governs enemy and squad behaviour. <br></li><li>Multiple paths through 15 challenging missions in urban, desert and indoor environments. <br></li><li>Real-World physics and ballistic models accurately simulate the rigours of combat. <br></li><li>Superb sound effects, explosions and actual Special Forces weaponry.</li></ul>"
243060,Urban Chaos,"Oct 15, 2013",Action,Single-player,,"Urban Chaos throws you into the heart of a modern urban jungle at the turn of the millenium. <br>To succeed you'll need a lethal combination of stealth, physical agility and martial art skills as you interact with the city around you. <br>Complete freedom to explore every areas is granted and this freedom extends to gameplay - the future is in your hands as you are drawn into an underlying plot featuring a mysterious cult who are intent on evil at this unpredictable and potentially menacing millenium period.<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li>2 playable main characters: D'arci Stern, an agile, street-savvy female cop or Roger McIntyre, a mysterious ex-soldier.<br></li><li>Multiple modes of combat. Engage in hand-to-hand fighting, heavy weaponry face-offs, vehicle chases and intense shoot-outs.<br></li><li>Command a variety of vehicles. Take control of police cars, vans and other vehicles.</li></ul>"
6920,Deus Ex: Invisible War,"Mar 29, 2007",Action,Single-player,,"Approximately 20 years after the events depicted in Deus Ex, The World is only beginning to recover from a Catastrophic worldwide depression. In the Chaotic period of recovery, several religious and political factions see an opportunity to re-shape a worldwide government to their agendas, understanding that the right moves now could determine the shape of human society for decades  even centuries  to come. In this techno-nightmare, take part in the dark struggle to raise the world from its own ashes.<br>					<ul class=""bb_ul""><li>Dynamic and innovative 1st person-action/adventure brings a level of reality unprecedented in a videogame.<br>					</li><li>Biotech modifications allow players to see through walls, leap 40 feet into the air, regenerate critical body damage or render yourself radar invisible.<br>					</li><li>Globe-hop to real world locations such as Seattle, Antarctica, and Cairo.<br>					</li><li>Cunning stealth gameplay, with darkness and sound affecting enemy awareness.<br>					</li><li>Variable gameplay offers multiple solutions to problems and support for varying stylistic approaches.<br>					</li><li>Non-lethal, non-violent resolution to conflict, allowing players to make ethical statements through their actions. <br>					</li><li>The player's progress through the game is supported by an unprecedented freedom of action by a dynamic, non-linear story with responsive plot branches.</li></ul>"
6910,Deus Ex: Game of the Year Edition,"Mar 29, 2007",Action,"Multi-player,Single-player",,"The year is 2052 and the world is a dangerous and chaotic place. Terrorists operate openly - killing thousands; drugs, disease and pollution kill even more. The world's economies are close to collapse and the gap between the insanely wealthy and the desperately poor grows ever wider. Worst of all, an ages old conspiracy bent on world domination has decided that the time is right to emerge from the shadows and take control.<h2 class=""bb_tag"">Key Features:</h2><br><ul class=""bb_ul""><li> Real role-playing from an immersive 3D, first-person perspective. The game includes action, character interaction and problem solving.<br></li><li> Realistic, recognizable locations. Many of the locations are built from actual blueprints of real places set in a near future scenario.<br></li><li> A game filled with people rather than monsters. This creates empathy with the game characters and enhances the realism of the game world.<br></li><li> Rich character development systems: Skills, augmentations, weapon and item selections and multiple solutions to problems ensure that no two players will end the game with similar characters.<br></li><li> Multiple solutions to problems and character development choices ensure a varied game experience. Talk, fight or use skills to get past obstacles as the game adapts itself to your style of play.<br></li><li> Strong storyline: Built on &quot;real&quot; conspiracy theories, current events and expected advancements in technology. If it's in the game, someone, somewhere believes</li></ul>"
